block,start_date,end_date,market_ret,market_vol,market_drawdown,market_abs,market_sq,dispersion,tail_count_8pct,downside_market,BTC_ret,BTC_vol,BTC_downside,ETH_ret,ETH_vol,ETH_downside,SOL_ret,SOL_vol,SOL_downside,BNB_ret,BNB_vol,BNB_downside,AVAX_ret,AVAX_vol,AVAX_downside,next_market_ret,next_block_end_date,next_stress
52,2022-02-25 00:00:00+00:00,2022-03-06 00:00:00+00:00,-0.030428015470660097,0.16913865065055503,-0.030428015470660097,0.043697773511317095,0.003118191828853413,0.015528782049317786,7.0,0.02269625918061166,-0.011717011581093062,0.17182337551084137,0.019099566902289665,-0.03176374780097335,0.17331668038759207,0.02306885883562728,-0.07213305365481182,0.2016994221725145,0.027881719112781055,0.028145637582116745,0.1399890895631443,0.01557400087617875,-0.06736529154333937,0.18793925551968285,0.027857150176181556,0.04242102266422609,2022-03-16 00:00:00+00:00,0.0
53,2022-03-07 00:00:00+00:00,2022-03-16 00:00:00+00:00,0.04242102266422609,0.10817452987052095,-0.04405077402277924,0.0298544225575794,0.0013168366625645573,0.010488577889423272,0.0,0.012554319591006245,0.0615566025247698,0.12586330191084835,0.012781267728143498,0.08076293912184296,0.10682478282319832,0.010918917601522438,0.029567336632711605,0.126429343754577,0.01557722146585947,0.023842531801243627,0.08630361105839872,0.00902397083911861,0.014693136927968808,0.117213915777529,0.014470220320387205,0.1190212220082838,2022-03-26 00:00:00+00:00,0.0
54,2022-03-17 00:00:00+00:00,2022-03-26 00:00:00+00:00,0.1190212220082838,0.06510192837198567,0.019005778628547576,0.023733063960265924,0.0008888781908100528,0.017248474389832978,0.0,0.006105698347221367,0.08100763863586491,0.04902340823521122,0.0033601130672350266,0.13090586622757572,0.0603180033115884,0.0033560723060475973,0.15131474722264837,0.1073529654964551,0.007816738924011713,0.07769330775048311,0.0403784934550301,0.0032478945197487617,0.14754140335077515,0.1345613662299162,0.012747672919063735,0.0902744866986116,2022-04-05 00:00:00+00:00,0.0
55,2022-03-27 00:00:00+00:00,2022-04-05 00:00:00+00:00,0.0902744866986116,0.0771085318116969,0.04578079708112481,0.025275063202079052,0.001038334490947328,0.016487346116106943,1.0,0.008149849993469295,0.01964634153214062,0.07018050387989883,0.0075201391673315856,0.07907412258408852,0.08548058231144687,0.007211242592713596,0.23235373123943281,0.1409700242310463,0.010341828658746444,0.0663886632863182,0.07385913627698464,0.0067478204596884694,0.05614913892634954,0.0894100640197722,0.008928219088866384,-0.13531828940437662,2022-04-15 00:00:00+00:00,1.0
56,2022-04-06 00:00:00+00:00,2022-04-15 00:00:00+00:00,-0.13531828940437662,0.1281396917558181,-0.1611502923221927,0.036395271413845,0.002043609661506936,0.013304774687351912,4.0,0.024993435629234353,-0.11330356349015203,0.09340640834411469,0.018845008056923972,-0.11392679785632853,0.11184838492581298,0.02042314171845403,-0.21713889286558907,0.17966947558537077,0.03569261494558216,-0.06773157886834724,0.11173265001406142,0.01894657891456033,-0.16196866485429684,0.1595817927193954,0.031059834510651287,-0.023605106634244977,2022-04-25 00:00:00+00:00,0.0
57,2022-04-16 00:00:00+00:00,2022-04-25 00:00:00+00:00,-0.023605106634244977,0.061967711614390304,-0.04342223828618519,0.01774952053362284,0.00045477582678592204,0.00719287892230418,0.0,0.009971806068141617,-0.004526680915444725,0.05356673207110852,0.007249071245489525,-0.012804390067867932,0.057506436255065345,0.008360867712233499,-0.0066307492168034,0.08403048338711908,0.010908906795654528,-0.032639252359168536,0.05427519918624999,0.008742118841160629,-0.06181018710330222,0.07793591651388741,0.014598065746169907,-0.1316896565537442,2022-05-05 00:00:00+00:00,1.0
58,2022-04-26 00:00:00+00:00,2022-05-05 00:00:00+00:00,-0.1316896565537442,0.14824592505369427,-0.1316896565537442,0.043078781499157996,0.0027552653294220784,0.017005201585846282,6.0,0.02799443543131602,-0.10333194120777445,0.1234244300216273,0.021673698897424386,-0.09447020555935559,0.13185634160709087,0.02363505247301454,-0.178310394096862,0.17996701440661467,0.0340813442130349,-0.07081740183107343,0.1177687844430504,0.020062722935754264,-0.21195452744291077,0.22140323732110653,0.04051935863735201,-0.2837255591540021,2022-05-15 00:00:00+00:00,1.0
59,2022-05-06 00:00:00+00:00,2022-05-15 00:00:00+00:00,-0.2837255591540021,0.27573543140377094,-0.38461779511308924,0.07225276171747931,0.010242266554651823,0.032543559543757865,12.0,0.05047438199390731,-0.15418614836010758,0.15012605173089183,0.0261242121847415,-0.23603868453530208,0.18592655201747313,0.03874812098809688,-0.3664364778803241,0.39022826608763916,0.07118451357495918,-0.20841554417636465,0.2701930353873591,0.04178959410971021,-0.4547886125623868,0.4259938827092099,0.07452546911202877,-0.12706652768360893,2022-05-25 00:00:00+00:00,1.0
60,2022-05-16 00:00:00+00:00,2022-05-25 00:00:00+00:00,-0.12706652768360893,0.15375276277310865,-0.13107167228112948,0.044112357984274514,0.002955062592381151,0.01930858508097062,6.0,0.028199226216165867,-0.06332917839421237,0.11353240534299512,0.018731302990289224,-0.10313110023261796,0.1330921628153265,0.023005117327157532,-0.2021719850978877,0.1936131077841967,0.03766347140526434,0.03495276468296815,0.12038227242532085,0.014314655364172424,-0.2782207881941897,0.22551858968232208,0.04728158399394582,-0.09840115910964631,2022-06-04 00:00:00+00:00,1.0
61,2022-05-26 00:00:00+00:00,2022-06-04 00:00:00+00:00,-0.09840115910964631,0.15826859705120405,-0.1187799761766738,0.04474030163788927,0.003186289300952601,0.022699200449945365,7.0,0.02688513117362902,0.00500390713741683,0.10834826196207986,0.012118282206581732,-0.0828084332692427,0.15768737273034328,0.0245003066583803,-0.20576500634802086,0.19900614630120445,0.03812455282263989,-0.08172604817758988,0.11740456713403273,0.018320263435531548,-0.12797074529987285,0.25058952737571116,0.04136225074501163,-0.29735320384995034,2022-06-14 00:00:00+00:00,1.0
62,2022-06-05 00:00:00+00:00,2022-06-14 00:00:00+00:00,-0.29735320384995034,0.1534566672300799,-0.30354925967566826,0.04712023183938083,0.004215835031796562,0.0245247298988157,10.0,0.04028259870414089,-0.27393659944331905,0.1692635117091764,0.034872707367139454,-0.3471953704255202,0.17611230628529334,0.04307796072938626,-0.25907156432824074,0.1956755550435065,0.04345756367752376,-0.26993026158499245,0.1275296025466864,0.03057756246555927,-0.3458664465219137,0.19815092529409198,0.04942719928109569,0.101807081354931,2022-06-24 00:00:00+00:00,0.0
63,2022-06-15 00:00:00+00:00,2022-06-24 00:00:00+00:00,0.101807081354931,0.21637915282638673,-0.10782203768226395,0.06159661118249695,0.00577253344431246,0.027098563779063063,18.0,0.024730681431766984,-0.0539991796540128,0.1652400343066813,0.021377505510763405,-0.01866094448927469,0.25074027485566636,0.03070466877869844,0.3617074401558136,0.2613789564015917,0.020851224914148193,0.056708863674599375,0.19255689964626002,0.022293767593303572,0.18853471552962708,0.27509618962333054,0.028426240361921318,-0.08450602933892981,2022-07-04 00:00:00+00:00,1.0
64,2022-06-25 00:00:00+00:00,2022-07-04 00:00:00+00:00,-0.08450602933892981,0.10350218347193517,-0.15526665295880981,0.027888739267757447,0.0013807194067882525,0.014367606488020188,2.0,0.018074524483139474,-0.04938957372781261,0.06733013606145535,0.010998605960753948,-0.0653041179264704,0.10050107226877608,0.015899863788692147,-0.1347087091877479,0.1498698756543738,0.025124675783594695,-0.03895403777065165,0.07481885320531259,0.010203549181305416,-0.13511936316158457,0.148528315170793,0.02814592770135116,0.030374215749523925,2022-07-14 00:00:00+00:00,0.0
65,2022-07-05 00:00:00+00:00,2022-07-14 00:00:00+00:00,0.030374215749523925,0.1312688423118036,-0.07827612392264638,0.03614182889338293,0.0019888330487206132,0.014006340679837562,3.0,0.016142022447481984,0.01261681560519512,0.09715028967399564,0.011526843161951562,0.025161898641110403,0.15081882668020505,0.019388589713413486,-6.471962448473256e-05,0.153975865293437,0.019919284753784572,0.026226360287991524,0.08796321433280822,0.010387644573682398,0.08353021831466356,0.18598930975009545,0.0194877500345779,0.15199501704366214,2022-07-24 00:00:00+00:00,0.0
66,2022-07-15 00:00:00+00:00,2022-07-24 00:00:00+00:00,0.15199501704366214,0.1380122867566755,0.005504668441040694,0.036323033470834695,0.0026138334383416844,0.01972952754222721,5.0,0.010579208657355066,0.09199166889614041,0.08976945851926128,0.006018238467508752,0.313222955256127,0.18258483338463025,0.007693519459007358,0.08656838706556713,0.16627416087471494,0.01653273531890038,0.09105405423586865,0.09185621085375155,0.0071918887297189645,0.18032237690424302,0.19652857745495067,0.015459661311639871,0.001283795931058096,2022-08-03 00:00:00+00:00,0.0
67,2022-07-25 00:00:00+00:00,2022-08-03 00:00:00+00:00,0.001283795931058096,0.14727686436729662,-0.09332847077741524,0.03545299875607554,0.002562147345842742,0.01860255712738875,7.0,0.017122474972784206,0.005034816005505149,0.10563541326971862,0.010439557487446826,-0.0018031576480200817,0.1714812988501144,0.016741893245203966,-0.07457626221599256,0.184746938656953,0.027385432592362056,0.1277528888377284,0.13027512553727422,0.010249251285784577,-0.048253314007270176,0.18513325368223144,0.02079624025312361,0.16554465536015406,2022-08-13 00:00:00+00:00,0.0
68,2022-08-04 00:00:00+00:00,2022-08-13 00:00:00+00:00,0.16554465536015406,0.07028859980643698,0.010662883722255989,0.026196882433610666,0.0011421350166804073,0.019208028376858463,1.0,0.005258092323275108,0.06881047065861878,0.06246906927926813,0.005301872811703667,0.21419301301398463,0.12489949105772527,0.007599423031719699,0.2015793903137344,0.09592137271349943,0.005675842207872028,0.08809814516926173,0.054585020720441926,0.0030739618793129255,0.2556181692217896,0.10443759588921961,0.004639361685767218,-0.16491541700739187,2022-08-23 00:00:00+00:00,1.0
69,2022-08-14 00:00:00+00:00,2022-08-23 00:00:00+00:00,-0.16491541700739187,0.10428511620137977,-0.19555703812840053,0.029137470558222578,0.0016358118960654042,0.014966387575574957,3.0,0.023215918352114572,-0.12516091623183612,0.10575110745793441,0.016506835086303618,-0.17053206432148105,0.13894287784562376,0.023656949955645778,-0.2417782999152137,0.10725728612779122,0.030778004868978658,-0.08210827842198665,0.10088213722949281,0.01647128390697441,-0.20121360743607275,0.11191627996943193,0.02866651794267039,-0.11239458261378588,2022-09-02 00:00:00+00:00,1.0
70,2022-08-24 00:00:00+00:00,2022-09-02 00:00:00+00:00,-0.11239458261378588,0.11168310304935765,-0.14007447701349607,0.02685741220328218,0.0015700357756450029,0.012704961129079933,4.0,0.019033423070189112,-0.07655259364654421,0.07983434063468327,0.013764965742726787,-0.06597932877603851,0.15548728247903013,0.020219822951145883,-0.13296231174190298,0.1280125646517969,0.02115004239313558,-0.07638087252835524,0.0825860041950074,0.012512136254184725,-0.20651191784533085,0.1291193407037791,0.027520148009752575,0.11502129726242027,2022-09-12 00:00:00+00:00,0.0
71,2022-09-03 00:00:00+00:00,2022-09-12 00:00:00+00:00,0.11502129726242027,0.08684878987770335,-0.03522077746713803,0.024576730281321266,0.0011289017132355122,0.01344671043200496,1.0,0.00662681977128817,0.11462203047829078,0.11525900643098559,0.006842061617468609,0.08491904043797449,0.08853056584941087,0.008153030762726488,0.191593966644533,0.09577030043724621,0.004590741922225661,0.055202017151600336,0.09214801850064004,0.0070120740247424426,0.1268838104843093,0.10193065138501728,0.006536190529277652,-0.15865257184280668,2022-09-22 00:00:00+00:00,1.0
72,2022-09-13 00:00:00+00:00,2022-09-22 00:00:00+00:00,-0.15865257184280668,0.14694351390948107,-0.202792455795488,0.04215053681486987,0.002766629391360972,0.017148325913688416,7.0,0.02908474388817728,-0.14151258372859843,0.123520863685806,0.022270906247927335,-0.24356194377087126,0.18515432681422045,0.041495974280182236,-0.1492830912178149,0.1797737043806218,0.03245870745241923,-0.06854968552534102,0.0963980439702721,0.01650655371991041,-0.18864713870707472,0.17991508672482015,0.032691577740447196,-0.021052012798197572,2022-10-02 00:00:00+00:00,0.0
73,2022-09-23 00:00:00+00:00,2022-10-02 00:00:00+00:00,-0.021052012798197572,0.0446230298315384,-0.021052012798197572,0.014317925976286379,0.0003153619687629782,0.010148449153337128,0.0,0.00817206175581882,-0.018586762193337214,0.04035360581057345,0.0066543174172338125,-0.038635240026088535,0.04711210474204098,0.007728598024158373,-0.015220658398248932,0.08803207155696893,0.013245141527616555,0.0333153794678025,0.038919135188139505,0.0029263909336015637,-0.0661532039150986,0.043581107682840715,0.010305860876483797,-0.02024964164434251,2022-10-12 00:00:00+00:00,0.0
74,2022-10-03 00:00:00+00:00,2022-10-12 00:00:00+00:00,-0.02024964164434251,0.056290718132251887,-0.02542172882532856,0.01558966618720409,0.000377785010164862,0.006887784743190425,0.0,0.008737834669329878,0.0036355236804825886,0.055761144842143485,0.00659742839134605,0.012182478528282692,0.05797911344998054,0.006743220031974584,-0.03056216810478507,0.0709322728922611,0.011187116880525271,-0.04994754482590125,0.05337240219277545,0.009577634033847638,-0.03651458239087835,0.06376212336205592,0.009583774008955848,-0.022499098782560067,2022-10-22 00:00:00+00:00,0.0
75,2022-10-13 00:00:00+00:00,2022-10-22 00:00:00+00:00,-0.022499098782560067,0.046521312395504215,-0.036643910478994735,0.014154067838848192,0.00033049938358964095,0.009549506189271782,0.0,0.008159401816239998,0.002100858019972618,0.0299006171264996,0.004223111387349476,0.013677236289422634,0.047079681572127205,0.005967470318462986,-0.10403279783661346,0.07303641766886482,0.016308370866878308,-0.002201042369216144,0.026712569612904195,0.003683658437462789,-0.01999693773733968,0.0786068710218862,0.010614398071046426,0.15438469155425993,2022-11-01 00:00:00+00:00,0.0
76,2022-10-23 00:00:00+00:00,2022-11-01 00:00:00+00:00,0.15438469155425993,0.08141158962277147,0.010695801086841206,0.027375338947047093,0.001198013822766468,0.016810279302108787,3.0,0.0062944488414535815,0.06446638634932422,0.0605983723318591,0.005137287029102567,0.19156575300835565,0.11871013092103881,0.007836923161669684,0.14158779490975726,0.11194988559147998,0.0079716513822925,0.19395955140275256,0.05824220357020909,0.0024583716074077166,0.17689121189366896,0.11953124770398718,0.00806801102679544,-0.29953391432880117,2022-11-11 00:00:00+00:00,1.0
77,2022-11-02 00:00:00+00:00,2022-11-11 00:00:00+00:00,-0.29953391432880117,0.3364334087422538,-0.36505811919015063,0.08106398843319297,0.015298419537077746,0.042194866990882776,19.0,0.05494615296242993,-0.18762065423584784,0.21174515061794208,0.033787830910025816,-0.22436725642554123,0.30573791428544866,0.04463887810391496,-0.6275369326568829,0.6269632639947954,0.10788846808518518,-0.1357360198867854,0.25901495286019455,0.033987621456548565,-0.28507458706057365,0.32419588885479317,0.05442796625647515,-0.16400756743275136,2022-11-21 00:00:00+00:00,1.0
78,2022-11-12 00:00:00+00:00,2022-11-21 00:00:00+00:00,-0.16400756743275136,0.07573899818424726,-0.16400756743275136,0.027012245485806927,0.0013020316781661352,0.017847098244856453,2.0,0.022237638685473904,-0.07714693027415886,0.0536327598715276,0.011514141168242098,-0.14468798087943557,0.07596858706090284,0.019203534422234457,-0.2944747570629911,0.1590621717449758,0.0412643431679224,-0.12792966693009555,0.05696565635193203,0.016656071092603586,-0.1688076731601751,0.09548525365647326,0.022550103576366977,0.11584788118011491,2022-12-01 00:00:00+00:00,0.0
79,2022-11-22 00:00:00+00:00,2022-12-01 00:00:00+00:00,0.11584788118011491,0.10131270463193233,0.04013982708007169,0.027234783443953213,0.0015267169598877758,0.01606883338470145,2.0,0.00785526288810921,0.07385518315743766,0.0560426945715386,0.0034694100755089607,0.14768484549593963,0.08313699367357928,0.004961060695901321,0.12363504035353956,0.1800875799376661,0.014798979330413742,0.1402863934633527,0.134386249641552,0.00872004253334202,0.08632870441163565,0.09342364339546928,0.007326821805380001,-0.008065418579291217,2022-12-11 00:00:00+00:00,0.0
80,2022-12-02 00:00:00+00:00,2022-12-11 00:00:00+00:00,-0.008065418579291217,0.05770346082505926,-0.010249177756377015,0.016809680847043814,0.00047313255709463667,0.011163549055796012,0.0,0.0087261579466949,0.005712513501233918,0.03541503695649455,0.004337701478502609,-0.013545777990339292,0.07832809008698302,0.010735461505260436,-0.010282450859096848,0.08478616809711322,0.01093439956520883,-0.02785076496062011,0.0401756679403294,0.007143039599034307,0.0025302367372224133,0.08582446648080032,0.010480187585468315,-0.08401969572865564,2022-12-21 00:00:00+00:00,1.0
