experiment,method,variable,mean,sd,q05,median,q95
simulated_gaussian_k2_fullcov,uniform,trace_Sigma_1,1.1087618043025336,0.104456159696422,0.9607299745082856,1.0913631319999695,1.29164679646492
simulated_gaussian_k2_fullcov,uniform,mu_1_0,-0.32533410129447776,0.05906237095250487,-0.41335451006889345,-0.33109064400196075,-0.21149780750274655
simulated_gaussian_k2_fullcov,uniform,mu_1_1,-0.1276967609133054,0.06730643251613816,-0.23163901790976524,-0.1280868723988533,-0.02307926388457416
simulated_gaussian_k2_fullcov,young_static,pi_0,0.7602821282214589,0.027170800564504778,0.7160033702850341,0.7603434324264526,0.796406489610672
simulated_gaussian_k2_fullcov,young_static,A_00,0.9103357523679734,0.010235416649431527,0.8964823603630065,0.9083223640918732,0.92659130692482
simulated_gaussian_k2_fullcov,young_static,trace_Sigma_0,0.2907349617944823,0.01692789489665074,0.26615573465824127,0.28842003643512726,0.32453307807445525
simulated_gaussian_k2_fullcov,young_static,mu_0_0,0.13362320903688668,0.03448343054258463,0.08074633590877056,0.12989633530378342,0.19679003730416297
simulated_gaussian_k2_fullcov,young_static,mu_0_1,0.056441653625936145,0.03187084829490598,-0.0074993294198066,0.05757059529423714,0.10666631981730461
simulated_gaussian_k2_fullcov,young_static,pi_1,0.23971787844267156,0.027170801991392893,0.2035934828221798,0.23965657502412796,0.2839965999126434
simulated_gaussian_k2_fullcov,young_static,A_11,0.7153621200058196,0.017450011974222124,0.6850646913051606,0.7169052362442017,0.7448796033859253
simulated_gaussian_k2_fullcov,young_static,trace_Sigma_1,1.0473548649085893,0.17416632944826796,0.8009660542011261,1.0529009103775024,1.3569962441921235
simulated_gaussian_k2_fullcov,young_static,mu_1_0,-0.30353337811927,0.06555772999756475,-0.40686008185148237,-0.3013077676296234,-0.19573024362325667
simulated_gaussian_k2_fullcov,young_static,mu_1_1,-0.11201178156900116,0.04793305287089444,-0.17801162451505662,-0.12135374918580055,-0.00796276933979242
simulated_gaussian_k2_fullcov,online_feature,pi_0,0.7382840890023443,0.03166199436855448,0.6847732126712799,0.7513751983642578,0.7766757160425186
simulated_gaussian_k2_fullcov,online_feature,A_00,0.9040716288818254,0.00803206147688941,0.8902875632047653,0.9043206870555878,0.9151193737983704
simulated_gaussian_k2_fullcov,online_feature,trace_Sigma_0,0.26467958055436613,0.03336814607697486,0.2137993574142456,0.268110454082489,0.3289800941944122
simulated_gaussian_k2_fullcov,online_feature,mu_0_0,0.14396592867043284,0.042605535401720865,0.07658004201948643,0.145551897585392,0.20965812131762504
simulated_gaussian_k2_fullcov,online_feature,mu_0_1,0.06737634410189154,0.02809586551619337,0.018078173510730267,0.06897890567779541,0.10886400602757931
simulated_gaussian_k2_fullcov,online_feature,pi_1,0.26171591675115957,0.03166199627052862,0.22332432493567467,0.24862484633922577,0.3152267590165138
simulated_gaussian_k2_fullcov,online_feature,A_11,0.7270679871241251,0.029349052706104925,0.6809405237436295,0.7300907969474792,0.7760260879993439
simulated_gaussian_k2_fullcov,online_feature,trace_Sigma_1,1.1152928289439943,0.15063840324021083,0.9096769273281098,1.13753342628479,1.400641632080078
simulated_gaussian_k2_fullcov,online_feature,mu_1_0,-0.2983483521060811,0.1290569149504023,-0.5614111602306366,-0.26715728640556335,-0.13043535575270654
